DataPoint #,Frame Axle Mount Inset,Frame FCC Loading Style,Frame FCC Loading Style - Flush,Frame FCC Loading Style - Hanging,Frame Overbody Height,Frame Shape,Frame Shape - Box,Frame Shape - MUTT,Frame Shape - Protector,Frame Shape - SMSS,Frame Underbody Length,Frame Underbody Width,Offload Generator Present,Offload Generator Height,Offload Generator Length,Offload Generator Width,Running Gear Type,Running Gear Type - Four-Wheeled,Running Gear Type - Six-Wheeled,Running Gear Type - Eight-Wheeled,Running Gear Type - Oval Track,Running Gear Type - Trapazoidal Track,Running Gear Type - Parallelogram Track,Running Gear Type - Mattrack,Running Gear Back Mount Inset,Running Gear Front Mount Inset,Running Gear Drive Gear Radius,Running Gear Drive Gear Radius - 5,Running Gear Drive Gear Radius - 6,Running Gear Drive Gear Radius - 7,Running Gear Drive Gear Width,Running Gear Track Thickness,Running Gear Track Width,Running Gear Mattrack Ground Contract Length,Running Gear Mattrack Inset Length,Running Gear Mattrack Length,Running Gear Mattrack Track Width,Running Gear Road Wheel Radius,Running Gear Road Wheel Radius - 3.5,Running Gear Road Wheel Radius - 4,Running Gear Road Wheel Radius - 5,Running Gear Road Wheel Radius - 6,Running Gear Road Wheel Radius - 7,Running Gear Road Wheel Width,Running Gear Wheel Contact Patch Arc,Running Gear Wheel Radius,Running Gear Wheel Width,Steering Type Name,Steering Type Name - Pivot,Steering Type Name - Skid,Steering Type Name - Single Ackerman,Steering Type Name - Dual Ackerman,Winch Present,Winch Stowed Width,Back Deck Overhang in,Running Gear Contact Patch Area in2,SMET FCC Length in,SMET FCC CtoC Turning Diameter in
11,10,1,1,0,0,1,1,0,0,0,41,57,2,0,0,0,3,0,0,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,4,0,0,0,1,1,5.597,1,107.496923,47.597,123.3868973
12,8,1,1,0,0,1,1,0,0,0,92,49,2,0,0,0,1,1,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,2,0,1,0,0,0,0,12,97.72447548,116,151.8551942
13,0,1,1,0,32,4,0,0,0,1,122,29,1,21.843,28.973,18.561,5,0,0,0,0,1,0,0,6,7,2,0,1,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,13,1,4,0,0,0,1,1,2.846,6,3660,135,178.3190941
14,9,2,0,1,0,1,1,0,0,0,55,28,2,0,0,0,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,1,1,0,0,0,1,6.306,8,166.1316083,71,85.70297544
15,9,1,1,0,0,4,0,0,0,1,52,39,2,0,0,0,4,0,0,0,1,0,0,0,6,6,1,1,0,0,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,20,1,1,1,0,0,0,1,6.392,0,0,58.392,88.87421259
16,5,1,1,0,22,3,0,0,1,0,85,35,1,33.476,33.765,28.733,4,0,0,0,1,0,0,0,9,8,2,0,1,0,13,2,15,0,0,0,0,5,0,0,0,0,1,0,0,16,1,2,0,1,0,0,0,0,4,0,92,147.2718575
17,12,2,0,1,16,4,0,0,0,1,43,21,2,0,0,0,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,3,0,0,1,0,0,0,4,156.3591608,51,78.98581414
18,12,1,1,0,33,4,0,0,0,1,39,37,2,0,0,0,6,0,0,0,0,0,1,0,23,9,3,0,0,1,13,2,15,0,0,0,0,5,0,0,0,0,1,0,0,17,1,1,1,0,0,0,0,0,11,-234.84,50,83.60023923
19,9,1,1,0,20,2,0,1,0,0,51,20,1,30.09,30.719,20.64,4,0,0,0,1,0,0,0,5.5,9,3,0,0,1,13,2,15,0,0,0,0,1,1,0,0,0,0,0,0,20,1,2,0,1,0,0,0,0,0,0,51,61.85466838
20,8,1,1,0,23,4,0,0,0,1,85,49,1,38.102,25.221,27.789,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,0,25,0,135,143.6175477
21,1,2,0,1,19,4,0,0,0,1,129,18,2,0,0,0,1,1,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,3,0,0,1,0,1,7.165,14,73.29335661,157,169.5367577
22,14,2,0,1,29,4,0,0,0,1,90,22,1,33.357,33.551,14.473,2,0,1,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,1,1,0,0,0,1,2.163,4,131.9280419,98,106.6208235
23,12,2,0,1,0,1,1,0,0,0,56,45,2,0,0,0,6,0,0,0,0,0,1,0,11.5,6,1,1,0,0,13,1,15,0,0,0,0,1,1,0,0,0,0,0,0,13,1,1,1,0,0,0,1,2.166,0,840,58.166,111.3924753
24,15,2,0,1,10,3,0,0,1,0,52,23,1,28.876,31.805,14.621,4,0,0,0,1,0,0,0,6,8,2,0,1,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,15,1,4,0,0,0,1,1,3.944,0,0,55.944,121.5821317
25,7,1,1,0,6,2,0,1,0,0,46,38,2,0,0,0,1,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,4,0,0,0,1,1,3.322,5,58.63468529,56,52.30384349
26,1,1,1,0,28,2,0,1,0,0,122,26,2,0,0,0,1,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,4,0,0,0,1,0,0,10,53.74846151,142,105.6394131
27,13,2,0,1,29,3,0,0,1,0,93,17,2,0,0,0,2,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,3,0,0,1,0,1,7.334,0,87.95202793,100.334,113.8973446
28,4,2,0,1,24,3,0,0,1,0,91,32,2,0,0,0,5,0,0,0,0,1,0,0,5.5,9,3,0,0,1,13,2,15,0,0,0,0,1,1,0,0,0,0,0,0,16,1,3,0,0,1,0,0,0,1.5,2490,97.5,231.4833575
29,13,2,0,1,8,2,0,1,0,0,120,32,2,0,0,0,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,3,0,0,1,0,1,8.092,4,166.1316083,132.092,116.0350805
30,12,1,1,0,5,4,0,0,0,1,59,43,2,0,0,0,2,0,1,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,0,0,4,117.2693706,67,79.61155695
31,0,1,1,0,27,2,0,1,0,0,48,53,2,0,0,0,1,1,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,3,0,0,1,0,1,8.044,18,87.95202793,84,148.9115305
32,15,1,1,0,11,3,0,0,1,0,49,56,2,0,0,0,2,0,1,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,4,0,0,0,1,1,5.467,3,131.9280419,57.467,120.4929071
33,13,1,1,0,0,1,1,0,0,0,113,17,2,0,0,0,6,0,0,0,0,0,1,0,19,8,3,0,0,1,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,20,1,4,0,0,0,1,0,0,6,2087.58,119,132.7111573
34,11,1,1,0,28,4,0,0,0,1,59,27,2,0,0,0,3,0,0,1,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,4,0,0,0,1,1,3.522,7,175.9040559,73,70.53881903
35,1,1,1,0,0,1,1,0,0,0,54,56,2,0,0,0,4,0,0,0,1,0,0,0,5,8,3,0,0,1,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,19,1,3,0,0,1,0,1,4.815,4,0,65,218.2064409
36,0,1,1,0,33,4,0,0,0,1,65,44,1,19.39,27.948,24.021,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,0,0,16,156.3591608,97,106.51291
37,6,1,1,0,0,1,1,0,0,0,115,56,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,13,1,4,0,0,0,1,1,6.648,27,0,169,175.5890712
38,8,2,0,1,22,3,0,0,1,0,50,37,1,13.946,28.046,19.826,6,0,0,0,0,0,1,0,14,8,2,0,1,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,13,1,3,0,0,1,0,1,4.227,6,728,60.227,177.9811344
39,9,1,1,0,0,1,1,0,0,0,124,45,2,0,0,0,4,0,0,0,1,0,0,0,6,7,2,0,1,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,16,1,4,0,0,0,1,0,0,0,0,124,200.4411801
40,5,1,1,0,14,4,0,0,0,1,79,40,2,0,0,0,3,0,0,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,2,0,1,0,0,1,2.553,6,107.496923,91,121.1651765
41,3,1,1,0,17,2,0,1,0,0,110,28,1,20.27,32.838,23.231,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,2,0,1,0,0,1,4.72,14,166.1316083,138,140.8119313
42,8,2,0,1,5,4,0,0,0,1,111,22,1,39.395,24.407,23.537,2,0,1,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,2,0,1,0,0,1,7.983,7,109.9400349,125.983,141.30717
43,15,2,0,1,25,2,0,1,0,0,37,37,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,0,18,0,73,81.84130986
44,14,1,1,0,13,2,0,1,0,0,125,19,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,17,1,4,0,0,0,1,0,0,19,0,163,78.88485351
45,12,2,0,1,20,4,0,0,0,1,65,47,1,28.576,37.676,27.536,3,0,0,1,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,2,0,1,0,0,0,0,0,117.2693706,65,131.2288078
46,4,1,1,0,28,3,0,0,1,0,129,47,2,0,0,0,3,0,0,1,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,4,0,0,0,1,0,0,8,117.2693706,145,148.0864082
47,9,2,0,1,30,4,0,0,0,1,129,19,2,0,0,0,6,0,0,0,0,0,1,0,13,7,2,0,1,0,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,20,1,1,1,0,0,0,0,0,4,2884,133,148.9227988
48,5,2,0,1,11,4,0,0,0,1,40,44,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,11,1,3,0,0,1,0,1,6.49,28,0,96,145.0421774
49,1,1,1,0,30,3,0,0,1,0,78,23,2,0,0,0,6,0,0,0,0,0,1,0,22,8,3,0,0,1,13,1,15,0,0,0,0,5,0,0,0,0,1,0,0,14,1,3,0,0,1,0,0,0,21,1595.16,106,184.8401828
50,15,1,1,0,9,3,0,0,1,0,60,55,2,0,0,0,2,0,1,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,3,0,0,1,0,0,0,4,139.2573776,68,136.8197065
51,3,2,0,1,27,2,0,1,0,0,119,27,2,0,0,0,2,0,1,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,2,0,1,0,0,0,0,15,131.9280419,149,158.4834376
52,15,2,0,1,19,3,0,0,1,0,70,55,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,15,1,4,0,0,0,1,0,0,18,0,106,154.694785
53,13,2,0,1,0,1,1,0,0,0,124,47,1,28.541,35.982,12.381,3,0,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,2,0,1,0,0,1,5.094,1,136.8142657,130.094,172.9752839
54,0,2,0,1,0,2,0,1,0,0,37,32,1,11.893,23.48,19.158,5,0,0,0,0,1,0,0,4.5,7,2,0,1,0,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,13,1,1,1,0,0,0,1,6.487,4.5,1036,48.5,48.5
55,14,1,1,0,10,4,0,0,0,1,107,16,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,13,1,1,1,0,0,0,1,6.49,19,0,145,145.8800877
56,12,1,1,0,33,4,0,0,0,1,52,21,2,0,0,0,1,1,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,1,2.72,4,78.17958038,60,63.5688603
57,5,1,1,0,17,2,0,1,0,0,106,36,1,17.118,26.793,25.035,3,0,0,1,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,4,0,0,0,1,1,2.589,10,146.5867132,126,114.9115305
58,8,1,1,0,0,1,1,0,0,0,54,27,2,0,0,0,4,0,0,0,1,0,0,0,7,9,3,0,0,1,13,2,14,0,0,0,0,3,0,0,1,0,0,0,0,16,1,4,0,0,0,1,1,3.426,0,0,57.426,119.4600457
59,0,1,1,0,18,2,0,1,0,0,128,47,1,21.853,23.581,12.286,3,0,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,1,1,0,0,0,1,4.162,20,195.448951,168,174.4505661
60,13,2,0,1,16,2,0,1,0,0,99,31,2,0,0,0,4,0,0,0,1,0,0,0,9,8,2,0,1,0,13,2,14,0,0,0,0,5,0,0,0,0,1,0,0,17,1,1,1,0,0,0,0,0,0,0,99,99
61,11,2,0,1,6,4,0,0,0,1,67,32,1,27.288,37.393,12.506,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,3,0,0,1,0,0,0,3,68.40713283,73,124.2295598
62,11,2,0,1,6,3,0,0,1,0,73,52,1,35.574,27.499,16.763,5,0,0,0,0,1,0,0,8,9,3,0,0,1,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,16,1,3,0,0,1,0,1,4.667,0,1530,77.667,231.9717016
63,0,1,1,0,27,3,0,0,1,0,66,16,1,30.714,29.258,15.171,2,0,1,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,1,1,0,0,0,1,8.476,13,95.28136359,92,93.38094024
64,8,2,0,1,15,3,0,0,1,0,80,41,1,32.103,27.327,19.654,6,0,0,0,0,0,1,0,22,7,2,0,1,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,17,1,4,0,0,0,1,0,0,14,1113.224,94,183.5116559
65,14,1,1,0,11,2,0,1,0,0,50,23,2,0,0,0,2,0,1,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,2,0,1,0,0,0,0,6,146.5867132,62,66.12866247
66,11,1,1,0,2,2,0,1,0,0,124,57,1,37.987,30.011,22.985,6,0,0,0,0,0,1,0,22,8,3,0,0,1,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,19,1,4,0,0,0,1,0,0,11,2216.816,135,133.9717016
67,13,1,1,0,33,2,0,1,0,0,105,25,2,0,0,0,6,0,0,0,0,0,1,0,11.5,6,1,1,0,0,13,1,15,0,0,0,0,1,1,0,0,0,0,0,0,15,1,2,0,1,0,0,1,6.127,0,2250,111.127,146.1992138
68,10,1,1,0,0,1,1,0,0,0,107,19,2,0,0,0,2,0,1,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,2,0,1,0,0,0,0,8,131.9280419,123,128.7361643
69,7,2,0,1,6,4,0,0,0,1,85,44,2,0,0,0,3,0,0,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,4,0,0,0,1,1,3.703,4,107.496923,93,139.7366527
70,1,2,0,1,19,3,0,0,1,0,89,18,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,17,1,2,0,1,0,0,1,7.544,32,0,153,162.9263637
71,14,2,0,1,0,2,0,1,0,0,39,54,1,16.314,31.805,29.185,4,0,0,0,1,0,0,0,7,6,1,1,0,0,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,19,1,1,1,0,0,0,0,0,0,0,39,39
72,7,1,1,0,0,1,1,0,0,0,53,50,2,0,0,0,6,0,0,0,0,0,1,0,16,8,3,0,0,1,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,19,1,2,0,1,0,0,1,4.897,9,810,66.897,159.6878474
73,9,1,1,0,6,2,0,1,0,0,56,49,1,32.587,23.094,13.183,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,2,0,1,0,0,0,0,2,80.62269227,60,77.46612163
74,8,1,1,0,0,1,1,0,0,0,87,24,1,17.113,25.594,16.956,5,0,0,0,0,1,0,0,6,9,3,0,0,1,13,2,15,0,0,0,0,2,0,1,0,0,0,0,0,20,1,4,0,0,0,1,0,0,0,2130,88,136.8332433
75,7,1,1,0,5,3,0,0,1,0,38,32,1,12.258,38.45,26.948,1,1,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,1,1,0,0,0,1,2.875,8,73.29335661,54,62.76941931
76,0,1,1,0,2,2,0,1,0,0,74,22,2,0,0,0,4,0,0,0,1,0,0,0,6,8,3,0,0,1,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,11,1,4,0,0,0,1,0,0,6,0,88,81.68535216
77,11,2,0,1,22,2,0,1,0,0,90,58,2,0,0,0,6,0,0,0,0,0,1,0,13,7,2,0,1,0,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,18,1,4,0,0,0,1,1,8.628,2,1800,100.628,202.9811344
78,0,2,0,1,0,3,0,0,1,0,40,20,1,25.22,26.632,29.289,5,0,0,0,0,1,0,0,5,6,1,1,0,0,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,14,1,1,1,0,0,0,0,0,5,1200,51,86.60831369
79,7,1,1,0,32,3,0,0,1,0,84,23,2,0,0,0,6,0,0,0,0,0,1,0,19,8,3,0,0,1,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,18,1,4,0,0,0,1,1,4.183,12,1577.58,100.183,134.2158737
80,10,2,0,1,13,2,0,1,0,0,86,54,1,25.225,26.534,24.939,6,0,0,0,0,0,1,0,16,6,1,1,0,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,16,1,2,0,1,0,0,1,7.105,6,1535.16,99.105,120.7592689
81,9,2,0,1,0,1,1,0,0,0,63,57,1,36.633,28.45,13.531,3,0,0,1,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,3,0,0,1,0,0,0,3,117.2693706,69,174.2295598
82,15,2,0,1,4,2,0,1,0,0,71,25,1,23.741,25.924,22.179,4,0,0,0,1,0,0,0,5,8,3,0,0,1,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,12,1,3,0,0,1,0,1,6.653,0,0,77.653,89.62430915
83,2,2,0,1,2,2,0,1,0,0,42,46,1,28.496,31.29,20.664,3,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,1,1,0,0,0,1,7.741,11,127.0418181,64,64
84,14,2,0,1,0,1,1,0,0,0,71,56,1,12.537,32.418,22.99,4,0,0,0,1,0,0,0,6,9,3,0,0,1,13,2,15,0,0,0,0,2,0,1,0,0,0,0,0,12,1,4,0,0,0,1,1,5.335,0,0,76.335,203.5468938
85,11,2,0,1,15,2,0,1,0,0,40,37,2,0,0,0,5,0,0,0,0,1,0,0,9,8,2,0,1,0,13,2,14,0,0,0,0,5,0,0,0,0,1,0,0,13,1,4,0,0,0,1,1,3.201,0,504,43.201,62.11265323
86,14,1,1,0,18,2,0,1,0,0,82,34,2,0,0,0,1,1,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,3,0,0,1,0,0,0,2,78.17958038,86,82.27547177
87,8,1,1,0,9,3,0,0,1,0,103,18,1,33.312,24.009,24.636,1,1,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,0,0,8,78.17958038,119,120.3536456
88,11,1,1,0,0,1,1,0,0,0,121,48,2,0,0,0,4,0,0,0,1,0,0,0,6,6,1,1,0,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,11,1,3,0,0,1,0,0,0,0,0,121,263.2391855
89,1,1,1,0,0,1,1,0,0,0,106,28,2,0,0,0,5,0,0,0,0,1,0,0,5,8,3,0,0,1,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,19,1,1,1,0,0,0,1,6.943,4,2912,117,129.7112177
90,10,1,1,0,26,2,0,1,0,0,105,25,2,0,0,0,5,0,0,0,0,1,0,0,6,8,3,0,0,1,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,19,1,3,0,0,1,0,0,0,0,2380,105,196.952836
91,10,1,1,0,22,3,0,0,1,0,113,52,1,14.75,27.604,22.586,5,0,0,0,0,1,0,0,9,9,3,0,0,1,13,2,14,0,0,0,0,5,0,0,0,0,1,0,0,12,1,1,1,0,0,0,0,0,0,2604,113,138.4521578
92,15,2,0,1,17,2,0,1,0,0,130,36,1,13.322,31.086,12.443,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,11,1,4,0,0,0,1,0,0,18,0,166,133.7369624
93,9,1,1,0,24,3,0,0,1,0,123,53,2,0,0,0,6,0,0,0,0,0,1,0,12.5,8,2,0,1,0,13,2,15,0,0,0,0,1,1,0,0,0,0,0,0,15,1,3,0,0,1,0,0,0,3.5,3012.42,126.5,280.647621
94,13,1,1,0,25,3,0,0,1,0,108,23,1,13.112,34.41,25.486,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,19,1,2,0,1,0,0,1,4.561,20,0,148,154.9838701
95,6,2,0,1,0,1,1,0,0,0,118,40,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,18,1,1,1,0,0,0,1,2.284,27,0,172,182.1647606
