DataPoint #,Frame Axle Mount Inset,Frame FCC Loading Style,Frame FCC Loading Style - Flush,Frame FCC Loading Style - Hanging,Frame Overbody Height,Frame Shape,Frame Shape - Box,Frame Shape - MUTT,Frame Shape - Protector,Frame Shape - SMSS,Frame Underbody Length,Frame Underbody Width,Offload Generator Present,Offload Generator Height,Offload Generator Length,Offload Generator Width,Running Gear Type,Running Gear Type - Four-Wheeled,Running Gear Type - Six-Wheeled,Running Gear Type - Eight-Wheeled,Running Gear Type - Oval Track,Running Gear Type - Trapazoidal Track,Running Gear Type - Parallelogram Track,Running Gear Type - Mattrack,Running Gear Back Mount Inset,Running Gear Front Mount Inset,Running Gear Drive Gear Radius,Running Gear Drive Gear Radius - 5,Running Gear Drive Gear Radius - 6,Running Gear Drive Gear Radius - 7,Running Gear Drive Gear Width,Running Gear Track Thickness,Running Gear Track Width,Running Gear Mattrack Ground Contract Length,Running Gear Mattrack Inset Length,Running Gear Mattrack Length,Running Gear Mattrack Track Width,Running Gear Road Wheel Radius,Running Gear Road Wheel Radius - 3.5,Running Gear Road Wheel Radius - 4,Running Gear Road Wheel Radius - 5,Running Gear Road Wheel Radius - 6,Running Gear Road Wheel Radius - 7,Running Gear Road Wheel Width,Running Gear Wheel Contact Patch Arc,Running Gear Wheel Radius,Running Gear Wheel Width,Steering Type Name,Steering Type Name - Pivot,Steering Type Name - Skid,Steering Type Name - Single Ackerman,Steering Type Name - Dual Ackerman,Winch Present,Winch Stowed Width
561,8,2,0,1,0,1,1,0,0,0,108,53,1,35.799,26.458,15.1,1,1,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,1,1,0,0,0,0,0
562,4,1,1,0,24,4,0,0,0,1,57,19,1,14.191,34.368,23.475,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,16,1,2,0,1,0,0,0,0
563,10,2,0,1,0,1,1,0,0,0,61,25,1,29.311,28.54,19.612,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,4,0,0,0,1,0,0
564,2,1,1,0,22,3,0,0,1,0,53,51,2,0,0,0,4,0,0,0,1,0,0,0,8,8,2,0,1,0,13,2,14,0,0,0,0,4,0,0,0,1,0,0,0,13,1,2,0,1,0,0,1,5.154
565,15,1,1,0,6,4,0,0,0,1,59,42,1,14.415,35.44,21.74,1,1,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,4,0,0,0,1,0,0
566,11,1,1,0,19,2,0,1,0,0,98,21,2,0,0,0,4,0,0,0,1,0,0,0,8,8,2,0,1,0,13,2,14,0,0,0,0,4,0,0,0,1,0,0,0,18,1,4,0,0,0,1,1,2.052
567,11,1,1,0,24,4,0,0,0,1,81,19,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,18,1,4,0,0,0,1,0,0
568,12,2,0,1,31,2,0,1,0,0,93,58,1,27.922,31.771,16.95,2,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,4,0,0,0,1,1,5.074
569,15,1,1,0,33,2,0,1,0,0,117,45,2,0,0,0,5,0,0,0,0,1,0,0,6,8,3,0,0,1,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,18,1,1,1,0,0,0,0,0
570,13,2,0,1,12,4,0,0,0,1,121,19,2,0,0,0,4,0,0,0,1,0,0,0,9,9,3,0,0,1,13,2,15,0,0,0,0,5,0,0,0,0,1,0,0,12,1,1,1,0,0,0,0,0
571,5,1,1,0,0,1,1,0,0,0,77,49,2,0,0,0,3,0,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,2,0,1,0,0,0,0
572,10,1,1,0,22,2,0,1,0,0,122,55,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,15,1,1,1,0,0,0,1,2.717
573,14,2,0,1,16,3,0,0,1,0,51,29,2,0,0,0,4,0,0,0,1,0,0,0,6,8,3,0,0,1,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,16,1,3,0,0,1,0,1,5.122
574,13,1,1,0,9,3,0,0,1,0,93,37,1,28.501,28.738,17.043,2,0,1,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,3,0,0,1,0,0,0
575,7,2,0,1,1,4,0,0,0,1,123,44,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,16,1,4,0,0,0,1,1,5.864
576,9,1,1,0,16,2,0,1,0,0,64,23,1,10.539,36.902,25.412,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,1,3.212
577,3,2,0,1,0,2,0,1,0,0,35,40,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,13,1,3,0,0,1,0,0,0
578,12,1,1,0,18,3,0,0,1,0,132,47,1,35.619,38.146,11.727,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,16,1,1,1,0,0,0,1,7.682
579,13,1,1,0,5,4,0,0,0,1,89,27,1,17.997,38.466,27.982,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,11,1,2,0,1,0,0,1,4.657
580,7,1,1,0,0,1,1,0,0,0,42,27,2,0,0,0,1,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,3,0,0,1,0,1,5.667
